date,rainfall (mm),temperature (C)
59:21.1,13.21,26.07916667
59:21.1,4.02,26.73333333
59:21.1,0.43,27.25416667
59:21.1,51.03,27.00833333
59:21.1,11.21,26.3375
59:21.1,11.63,26.67916667
59:21.1,8.01,25.625
59:21.1,1.42,26.45833333
59:21.1,0,26.54583333
59:21.1,0,27.70416667
59:21.1,0,27.77916667
59:21.1,0,27.22916667
59:21.1,72.4,24.45833333
59:21.1,0,26.4
59:21.1,0,27.35416667
59:21.1,0,28.27916667
59:21.1,10.82,25.75833333
59:21.1,0.02,25.97916667
59:21.1,0,27.50833333
59:21.1,0,27.79583333
59:21.1,29.02,26.9
59:21.1,1.22,27.1
59:21.1,9.81,26.13333333
59:21.1,6.21,26.23333333
59:21.1,38.23,25.175
59:21.1,39.84,24.51666667
59:21.1,0,26.37916667
59:21.1,0,26.7375
59:21.1,0,27.32916667
59:21.1,0,27.425
59:21.1,0,27.75
59:21.1,0,28.39166667
59:21.1,0,28.35833333
59:21.1,0,28.27916667
59:21.1,0,28.19583333
59:21.1,6.62,25.79166667
59:21.1,0.4,27.575
59:21.1,0.03,27.82916667
59:21.1,0,28.33333333
59:21.1,0,28.45833333
59:21.1,0.4,28.04583333
59:21.1,21.8,26.70416667
59:21.1,0.21,27.90416667
59:21.1,31.03,25.25
59:21.1,0,27.48333333
59:21.1,0,27.9125
59:21.1,35.03,26.07916667
59:21.1,0,27.75416667
59:21.1,0,28.76666667
59:21.1,0,28.775
59:21.1,0,28.7125
59:21.1,0.22,28.09166667
59:21.1,0,28.4125
59:21.1,2.41,27.63333333
59:21.1,6.22,28.42916667
59:21.1,44.23,25.275
59:21.1,0,27.58333333
59:21.1,0,28.65
59:21.1,7.43,26.28333333
59:21.1,0,27.30416667
59:21.1,0,28.55416667
59:21.1,0,28.425
59:21.1,0,27.7375
59:21.1,0,28.3125
59:21.1,0,28.29583333
59:21.1,0,29.1
59:21.1,10.22,26.49583333
59:21.1,0,27.34583333
59:21.1,0,28.37083333
59:21.1,0,28.68333333
59:21.1,0,29.49166667
59:21.1,0,28.65
59:21.1,0,27.17083333
59:21.1,4.61,25.10416667
59:21.1,0,27.65416667
59:21.1,0,27.72083333
59:21.1,0,28.24583333
59:21.1,0,28.6
59:21.1,0,28.95833333
59:21.1,28.81,26.21666667
59:21.1,0,27.74583333
59:21.1,0,27.47916667
59:21.1,0,27.9875
59:21.1,2.21,26.9125
59:21.1,1.42,25.97083333
59:21.1,0,27.49166667
59:21.1,6.43,26.5
59:21.1,1.8,26.6
59:21.1,0.01,27.74166667
59:21.1,1.61,27.77083333
59:21.1,85.84,25.41666667
59:21.1,0,27.25
59:21.1,4.6,26.825
59:21.1,0.6,26.6875
59:21.1,74.02,26.17083333
59:21.1,5.81,26.57916667
59:21.1,0.2,27.00416667
59:21.1,5.6,25.89583333
59:21.1,0,26.85416667
59:21.1,0,27.46666667
59:21.1,9.2,27.08333333
59:21.1,110,25.69166667
59:21.1,0.21,27.25416667
59:21.1,0,27.44166667
59:21.1,0,27.51666667
59:21.1,0,27.49166667
59:21.1,0,27.5875
59:21.1,0,28.33333333
59:21.1,20.81,27.17916667
59:21.1,0.41,28.31666667
59:21.1,0,28.75833333
59:21.1,2.8,28.14583333
59:21.1,0,27.70416667
59:21.1,0,26.525
59:21.1,0,28.32083333
59:21.1,0,28.2125
59:21.1,5.21,25.65833333
59:21.1,5.6,25.4875
59:21.1,2.21,25.175
59:21.1,2,26.55
59:21.1,38.42,25.12916667
59:21.1,12.03,26.35833333
59:21.1,0,27.64166667
59:21.1,0,28.39166667
59:21.1,0.22,26.425
59:21.1,0,27.86666667
59:21.1,0,28.35
59:21.1,0.01,28.1125
59:21.1,0,28.88333333
59:21.1,16.21,26.99583333
59:21.1,0,27.4375
59:21.1,0.82,27.50833333
59:21.1,69.01,26.3375
59:21.1,24.4,26.94166667
59:21.1,38,26.33333333
59:21.1,0,27.02083333
59:21.1,0,27.79166667
59:21.1,0,28.075
59:21.1,0.6,26.50416667
59:21.1,1.02,26.88333333
59:21.1,1.01,27.925
59:21.1,2.4,27.38333333
59:21.1,30.42,27.03333333
59:21.1,95.01,25.92916667
59:21.1,72.41,25.8125
59:21.1,0,27.20833333
59:21.1,0,28.35833333
59:21.1,0.41,26.9125
59:21.1,0,28.1375
59:21.1,0,28.96666667
59:21.1,0,29.24583333
59:21.1,0,28.05833333
59:21.1,0,27.26666667
59:21.1,0,27.56666667
59:21.1,5.21,27.80833333
59:21.1,14.8,26.9
59:21.1,0,28.17083333
59:21.1,0,27.85416667
59:21.1,6.2,28.075
59:21.1,3.21,26.23333333
59:21.1,1.8,27.45
59:21.1,23.41,26.5
59:21.1,0.81,26.8625
59:21.1,12.84,26.81666667
59:21.1,0.2,27.22916667
59:21.1,1.4,27.55416667
59:21.1,4.41,27.3375
59:21.1,1.21,27.45
59:21.1,11.6,27.64166667
59:21.1,6.01,26.07916667
59:21.1,0,26.86666667
59:21.1,0.02,27.95
59:21.1,33.23,25.84583333
59:21.1,0.2,26.49583333
59:21.1,0,25.67083333
59:21.1,0.6,25.12083333
59:21.1,0,27.33333333
59:21.1,57.21,27.425
59:21.1,131.62,25.5
59:21.1,4.41,26.27916667
59:21.1,6.81,26.475
59:21.1,0,27.4875
59:21.1,5.6,27.7
59:21.1,33.42,26.28333333
59:21.1,0,26.725
59:21.1,0,27.58333333
59:21.1,0,27.87083333
59:21.1,0,28.46666667
59:21.1,5.42,26.8125
59:21.1,0.21,26.50416667
59:21.1,1,27.3
59:21.1,0,27.78333333
59:21.1,8.8,27.39166667
59:21.1,0,27.12083333
59:21.1,3.2,26.06666667
59:21.1,39.21,24.71666667
59:21.1,0,27.10833333
59:21.1,0,27.44166667
59:21.1,0.02,28.25416667
59:21.1,0,28.42916667
59:21.1,3.8,28.52916667
59:21.1,64.01,27.57916667
59:21.1,11.02,25.98333333
59:21.1,41.22,26.4375
59:21.1,13.61,26.57083333
59:21.1,4.82,27.275
59:21.1,6.82,26.76666667
59:21.1,18.8,27.09166667
59:21.1,104.61,24.67916667
59:21.1,0.41,26.34166667
59:21.1,17.03,24.78333333
59:21.1,0.81,25.75
59:21.1,4.41,26.35
59:21.1,9.21,26.92083333
59:21.1,0,27.95
59:21.1,1.81,27.46666667
59:21.1,14.62,26.55416667
59:21.1,9.84,25.425
59:21.1,4.82,25.79583333
59:21.1,0.61,27.39166667
59:21.1,32.01,27.4625
59:21.1,33.81,27.50416667
59:21.1,10.22,27.50833333
59:21.1,0,27.24166667
59:21.1,0.02,26.82916667
59:21.1,0,27.625
59:21.1,15.6,26.95416667
59:21.1,0,26.63333333
59:21.1,0.81,28.19583333
59:21.1,8.82,28.55416667
59:21.1,16.22,27.88333333
59:21.1,3.03,26.50416667
59:21.1,0,26.8875
59:21.1,0.6,27.6
59:21.1,3.6,27.1375
59:21.1,26.22,25.7625
59:21.1,6.4,27.05833333
59:21.1,0.6,27.36666667
59:21.1,5.4,27.37916667
59:21.1,0.8,27.24166667
59:21.1,0,27.21666667
59:21.1,47.41,26.5625
59:21.1,8,26.75833333
59:21.1,0,27.49166667
59:21.1,50.6,26.35833333
59:21.1,0.81,26.44166667
59:21.1,0.21,27.3875
59:21.1,9.4,27.24166667
59:21.1,66.61,26.0125
59:21.1,2.22,26.45416667
59:21.1,0,28.2
59:21.1,6.01,27.95833333
59:21.1,0,28.39166667
59:21.1,0,28.11666667
59:21.1,87,26.57083333
59:21.1,0,27.925
59:21.1,2.82,27.03333333
59:21.1,46.8,26.60833333
59:21.1,0,27.68333333
59:21.1,2.81,26.73333333
59:21.1,0,27.57916667
59:21.1,25.23,25.91666667
59:21.1,0.81,26.40416667
59:21.1,8.22,27.15
59:21.1,0.82,27.10833333
59:21.1,3.2,27.825
59:21.1,1.4,27.02916667
59:21.1,26,27.41666667
59:21.1,5.42,26.53333333
59:21.1,0,26.5125
59:21.1,16.82,26.3375
59:21.1,2.22,26.6125
59:21.1,30.01,24.98333333
59:21.1,5.01,25.6
59:21.1,0,26.71666667
59:21.1,8.22,26.92916667
59:21.1,3.83,25.34583333
59:21.1,1.41,26.99583333
59:21.1,3.2,27.33333333
59:21.1,0,27.3625
59:21.1,0,27.66666667
59:21.1,26.01,27.40833333
59:21.1,22.23,25.74166667
59:21.1,21.01,26.04166667
59:21.1,0,26.84166667
59:21.1,5.62,26.3
59:21.1,47.42,24.40416667
59:21.1,0,26.28333333
59:21.1,0.2,26.2375
59:21.1,0.41,25.95
59:21.1,12.21,25.5875
59:21.1,10.83,26.15416667
