state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Sabah,Kudat,6.8824598,116.8494435,7.95,28.06,78.14,81.04,12738077.32,744.2,1584.71,25.06,32.37,7210.83
Sabah,Kunak,4.6838807,118.2475984,8.0,28.3,80.2,84.0,12779773.19,1262.4,1471.95,25.73,31.97,6880.83
Sabah,Lahad Datu,5.0215726,118.3275533,7.81,28.29,79.27,81.57,12323859.12,1108.0,1474.69,26.09,31.55,6865.2
Sabah,Nabawan,5.0397345,116.4258286,8.13,26.01,82.25,79.48,12610696.03,967.6,1522.13,22.03,31.29,6973.49
Sabah,Papar,5.7330227,115.9320971,8.04,27.29,81.73,86.71,11473922.73,1952.2,1435.74,23.91,31.25,6944.5
Sabah,Penampang,5.9053514,116.1044142,8.15,28.57,78.31,79.57,11603546.96,1101.4,1485.25,26.24,31.25,6934.62
Sabah,Pitas,6.7303182,117.054365,7.81,28.05,78.14,81.04,12738077.32,744.2,1584.54,25.06,32.37,7210.83
Sabah,Putatan,5.8833333,116.05,8.15,28.63,78.31,79.57,11603546.96,1101.4,1486.59,26.28,31.3,6934.62
Sabah,Ranau,5.9511437,116.6662881,8.03,22.42,86.11,84.1,11985398.99,1519.6,1297.93,19.03,26.8,6516.55
Sabah,Sandakan,5.8391274,118.1158598,8.0,27.55,81.37,84.29,12628603.12,1222.1,1447.19,24.63,31.68,6795.91
Sabah,Semporna,4.4790651,118.6118806,8.03,28.27,78.78,83.26,12839138.32,1288.6,1463.32,26.49,30.68,6969.22
Sabah,Sipitang,5.0763734,115.5494493,8.05,28.23,83.56,82.72,12098522.28,2089.6,1526.21,26.13,31.67,7198.07
Sabah,Tambunan,5.6688001,116.3655408,7.94,25.02,83.41,83.17,11439451.45,1097.9,1295.23,21.08,29.89,6100.33
