date,rainfall (mm),temperature (C)
58:31.3,25.43,24.79583333
58:31.3,0.21,27.725
58:31.3,0,27.9
58:31.3,48.85,25.5125
58:31.3,2.02,25.97916667
58:31.3,0.21,26.35416667
58:31.3,0,27.32916667
58:31.3,5.21,26.0125
58:31.3,0,28.18333333
58:31.3,32.83,26.36666667
58:31.3,1.01,27.65
58:31.3,6.41,26.41666667
58:31.3,0,25.33333333
58:31.3,0,26.59583333
58:31.3,0,27.12916667
58:31.3,0,27.4125
58:31.3,2.43,25.775
58:31.3,5.62,24.675
58:31.3,0.22,26.59166667
58:31.3,50.62,25.98333333
58:31.3,42.6,25.1125
58:31.3,15.64,26.1375
58:31.3,25.01,24.4
58:31.3,28.41,25
58:31.3,0.42,25.94583333
58:31.3,35.22,24.725
58:31.3,2.23,26.44583333
58:31.3,28.01,26.725
58:31.3,3.61,26.49583333
58:31.3,0.41,26.94166667
58:31.3,70.21,26.1
58:31.3,13.01,26.24583333
58:31.3,6.6,26.375
58:31.3,0.61,26.95
58:31.3,0,27.64166667
58:31.3,0,25.3
58:31.3,0,27.1625
58:31.3,0,26.9125
58:31.3,0,27.43333333
58:31.3,0,28.04166667
58:31.3,7.44,26.3875
58:31.3,32.42,25.0375
58:31.3,20.21,26.2375
58:31.3,0.42,25.57916667
58:31.3,0,27.4125
58:31.3,0,28.04166667
58:31.3,2.62,26.50833333
58:31.3,0,28.1625
58:31.3,7.21,26.70416667
58:31.3,0,27.74166667
58:31.3,0,26.67916667
58:31.3,3.41,26.98333333
58:31.3,36.62,27.07916667
58:31.3,1.2,26.7625
58:31.3,11.21,26.31666667
58:31.3,6.02,26.09583333
58:31.3,0,27.89583333
58:31.3,0,28.71666667
58:31.3,0.61,27.45416667
58:31.3,6.6,27.59583333
58:31.3,0.22,27.64166667
58:31.3,4.62,28.27916667
58:31.3,21.23,26.65
58:31.3,47.65,25.35416667
58:31.3,0,27.37083333
58:31.3,26.42,27.25
58:31.3,1.62,25.85416667
58:31.3,0,26.8625
58:31.3,0,27.86666667
58:31.3,0,28.69583333
58:31.3,0,28.5875
58:31.3,0,28.69583333
58:31.3,37.86,25.25
58:31.3,0.02,25.675
58:31.3,0,27.375
58:31.3,0,27.35833333
58:31.3,0,27.02083333
58:31.3,0,28.33333333
58:31.3,4.42,27.49583333
58:31.3,41.06,24.28333333
58:31.3,26.61,23.25
58:31.3,0,25.8125
58:31.3,6.21,26.7
58:31.3,55.61,24.05
58:31.3,0.02,26.54583333
58:31.3,8.24,25.975
58:31.3,0,25.14166667
58:31.3,31.43,26.32083333
58:31.3,40.21,25.2375
58:31.3,2.81,25.50416667
58:31.3,3.81,24.49583333
58:31.3,0,26.70833333
58:31.3,1.22,26.4
58:31.3,7.44,25.77916667
58:31.3,3.03,25.9625
58:31.3,4.81,25.7375
58:31.3,0,27.06666667
58:31.3,55.82,24.34583333
58:31.3,15.8,27.1
58:31.3,10.83,26.24583333
58:31.3,87.42,26.07083333
58:31.3,2.65,25.77083333
58:31.3,27.82,26.3125
58:31.3,0,26.5625
58:31.3,0,26.47916667
58:31.3,7.81,26.23333333
58:31.3,0,26.9
58:31.3,0,26.89583333
58:31.3,5.82,26.54583333
58:31.3,0.4,28.225
58:31.3,0,28.3
58:31.3,0,26.46666667
58:31.3,0.22,26.59583333
58:31.3,0,26.51666667
58:31.3,0,27.84583333
58:31.3,0.03,26.22083333
58:31.3,1.6,26.525
58:31.3,0.8,26.35833333
58:31.3,0.04,25.4125
58:31.3,0.02,25
58:31.3,0.05,24.61666667
58:31.3,20.61,25.27083333
58:31.3,0.01,26.80416667
58:31.3,0,27.4875
58:31.3,0,26.65
58:31.3,0,27.77083333
58:31.3,0,28.075
58:31.3,0,28.10416667
58:31.3,0,27.87083333
58:31.3,0.43,26.67083333
58:31.3,10.84,26.3125
58:31.3,2.21,25.09583333
58:31.3,3.63,25.20416667
58:31.3,0,25.45
58:31.3,22,25.6
58:31.3,0,27.17083333
58:31.3,0,27.3125
58:31.3,18.44,25.42083333
58:31.3,0.02,25.85833333
58:31.3,6.65,26.39583333
58:31.3,1.8,26.1625
58:31.3,1.03,25.8375
58:31.3,5.04,25.85416667
58:31.3,4.46,24.8375
58:31.3,0.22,25.48333333
58:31.3,0,27.2125
58:31.3,3.81,27.27916667
58:31.3,0.01,27.10833333
58:31.3,0,26.1625
58:31.3,0,27.80833333
58:31.3,0,27.42083333
58:31.3,25.41,26.64166667
58:31.3,2.44,24.675
58:31.3,2.02,26.09583333
58:31.3,6.01,26.05833333
58:31.3,0.63,26.24166667
58:31.3,0.61,25.775
58:31.3,0,26.975
58:31.3,0,26.82083333
58:31.3,44.61,25.54166667
58:31.3,6.23,25.64583333
58:31.3,19.41,25.35833333
58:31.3,5.81,26.09583333
58:31.3,3.83,25.81666667
58:31.3,31.03,26.05416667
58:31.3,5.23,25.625
58:31.3,6.41,25.2125
58:31.3,110.02,26.2125
58:31.3,17.82,24.90416667
58:31.3,0.82,25.30416667
58:31.3,0,26.74166667
58:31.3,0,26.84166667
58:31.3,12.02,24.70416667
58:31.3,23.83,25
58:31.3,0,25.73333333
58:31.3,0,26.075
58:31.3,16.02,25.88333333
58:31.3,18.41,24.65833333
58:31.3,13.05,23.8
58:31.3,0,26.025
58:31.3,10.22,25.125
58:31.3,15.62,25.725
58:31.3,2.24,25.175
58:31.3,2.26,24.63333333
58:31.3,17.8,25.825
58:31.3,64.21,25.09583333
58:31.3,0,26.125
58:31.3,0,27.125
58:31.3,3.23,25.42916667
58:31.3,3.8,26.15416667
58:31.3,0.22,26.52083333
58:31.3,4.21,27.05
58:31.3,1.84,25.11666667
58:31.3,0,25.30833333
58:31.3,8,26.43333333
58:31.3,3.05,26.03333333
58:31.3,3.82,26.4
58:31.3,62,26.90416667
58:31.3,24.03,25.6875
58:31.3,0,27.8
58:31.3,0,28.2625
58:31.3,11.03,25.25
58:31.3,0.42,26.775
58:31.3,45.03,26.12916667
58:31.3,17.84,24.80833333
58:31.3,50.62,25.85833333
58:31.3,1.64,25.98333333
58:31.3,1.66,26.22916667
58:31.3,0.83,25.50416667
58:31.3,3,26.25416667
58:31.3,19.2,26.29583333
58:31.3,12.4,26.74166667
58:31.3,2.43,26.3375
58:31.3,0.44,27.13333333
58:31.3,0,27.21666667
58:31.3,0,27.57916667
58:31.3,2.8,27.7375
58:31.3,23.43,26.25
58:31.3,0,25.875
58:31.3,44.4,26.13333333
58:31.3,38.63,25.475
58:31.3,0,26.625
58:31.3,43.22,26.42916667
58:31.3,32.24,25.8625
58:31.3,2.01,27.45833333
58:31.3,35.02,27.4875
58:31.3,16.87,25.70416667
58:31.3,0,26.975
58:31.3,12.03,27.38333333
58:31.3,3.01,27.67916667
58:31.3,6.82,26.91666667
58:31.3,54.24,25.57916667
58:31.3,5.83,25.62083333
58:31.3,3.42,26.57083333
58:31.3,9.03,25.15833333
58:31.3,0.21,26.14583333
58:31.3,11.83,25.07083333
58:31.3,11.21,25.8125
58:31.3,51.42,26.15
58:31.3,28.81,26.1875
58:31.3,3.63,25.89583333
58:31.3,2.22,25.85416667
58:31.3,0.02,25.97916667
58:31.3,1.41,26.92916667
58:31.3,17.84,25.77916667
58:31.3,1.03,25.25416667
58:31.3,43.43,26.38333333
58:31.3,101.6,27.07916667
58:31.3,26.84,25.96666667
58:31.3,7.44,25.875
58:31.3,1.6,26.40416667
58:31.3,0.62,27.87083333
58:31.3,0,28.00833333
58:31.3,31.2,26.9625
58:31.3,0.83,26.45833333
58:31.3,41.83,26.24166667
58:31.3,0.02,26.05833333
58:31.3,44.44,25.31666667
58:31.3,10.81,26.1125
58:31.3,41.81,25.70833333
58:31.3,0.03,25.81666667
58:31.3,11.4,26.2
58:31.3,4.24,26.2375
58:31.3,0.25,27.06666667
58:31.3,0.22,26.575
58:31.3,0,26.6875
58:31.3,10.81,26.26666667
58:31.3,4,27.06666667
58:31.3,7.85,25.37916667
58:31.3,54.42,26.48333333
58:31.3,0.02,26.3
58:31.3,6.2,26.80416667
58:31.3,15.83,25.05416667
58:31.3,2.01,25.45833333
58:31.3,18.2,25.95
58:31.3,1.83,25.49166667
58:31.3,5.63,25.3125
58:31.3,41.41,26.97916667
58:31.3,41.42,25.4875
58:31.3,12.61,26.1125
58:31.3,18.62,26.69583333
58:31.3,1.01,26.69166667
58:31.3,43.42,25.95416667
58:31.3,75.42,22.9875
58:31.3,1,23.92916667
58:31.3,5.01,25
58:31.3,2.42,25.33333333
58:31.3,0,25.46666667
58:31.3,1.41,24.70833333
58:31.3,0,25.7375
58:31.3,0,25.8375
58:31.3,9.02,25.1375
